pa#ys	pays
nonchalamme#nt	nonchalamment
nupti#al	nuptial
obligati#on	obligation
obscuréme#nt	obscurément
obstinati#on	obstination
obstinéme#nt	obstinément
occasi#on	occasion
occasi#ons	occasions
odi#euse	odieuse
odi#eux	odieux
offici#eux	officieux
offri#ez	offriez
opini#on	opinion
ori#ent	orient
orneme#nt	ornement
oubli#ant	oubliant
oubli#er 	oublier 
oubli#ez	oubliez
oubli#ez-en	oubliez-en
oubli#ez-vous	oubliez-vous
oubli#é	oublié
oubli#ée	oubliée
paisibleme#nt	paisiblement
pare#nt	parent
parfaiteme#nt	parfaitement
parli#ez	parliez
passi#on	passion
passi#onné	passionné
passi#ons	passions
pati#ence	patience
pati#ences	patiences
perfecti#on	perfection
perfecti#ons	perfections
permissi#on	permission
persécuti#on	persécution
persécuti#ons	persécutions
pi#euse	pieuse
pi#eux	pieux
pleineme#nt	pleinement
pleureri#ez	pleureriez
pompeuseme#nt	pompeusement
possessi#on	possession
prendri#ez	prendriez
pressentime#nt	pressentiment
pri#ant	priant
pri#er	prier
pri#ez	priez
pri#ons	prions
pri#ère	prière
pri#ères	prières
pri#é	prié
pri#ée	priée
prodigi#eux	prodigieux
profusi#on	profusion
profusi#ons	profusions
prompteme#nt	promptement
proscripti#ons	proscriptions
prostituti#on	prostitution
protecti#on	protection
protestati#ons	protestations
provisi#on	provision
prude#nt	prudent
précauti#on	précaution
précauti#ons	précautions
préci#euse	précieuse
préci#eux	précieux
prédicti#on	prédiction
prédicti#ons	prédictions
prése#nt	présent
présompti#on	présomption
prétenti#on	prétention
prétenti#ons	prétentions
prétori#ens	prétoriens
publi#ant	publiant
publi#er	publier
publiqueme#nt	publiquement
publi#és	publiés
puniti#on	punition
Liri#ope	Liriope
puniti#ons	punitions
questi#on	question
questi#ons	questions
raisonneme#nt	raisonnement
rareme#nt	rarement
ravisseme#nt	ravissement
redoubleme#nt	redoublement
refroidisseme#nt	refroidissement
remerci#ant	remerciant
remerci#er	remercier
resse#nt 	ressent 
ressentime#nt	ressentiment
retardeme#nt	retardement
 ri#ez	 riez
rompri#ons	romprions
ru#ine	ruine
ru#ines	ruines
ru#iné	ruiné
rébelli#on	rébellion
rébelli#ons	rébellions
récepti#on	réception
réflexi#on	réflexion
réjou#is	réjouis
réjou#it	réjouit
renou#er	renouer
répudi#ée	répudiée
réputati#on	réputation
résoluti#on	résolution
résoluti#ons	résolutions
rétablisseme#nt	rétablissement
révoluti#ons	révolutions
sacrifi#er	sacrifier
sacrifi#é	sacrifié
sacrifi#és	sacrifiés
sacrifi#ez	sacrifiez
Sacrifi#ez	Sacrifiez
saineme#nt	sainement
satisfacti#on	satisfaction
satisfacti#ons	satisfactions
sci#ence	science
secou#er	secouer
sentime#nt	sentiment
serme#nt	serment
seuleme#nt	seulement
simpleme#nt	simplement
soulageme#nt	soulagement
soulèveme#nt	soulèvement
soumissi#on	soumission
soumissi#ons	soumissions
sourdeme#nt	sourdement
souve#nt	souvent
spéci#eux	spécieux
submissi#on	submission
submissi#ons	submissions
successi#ons	successions
suppli#ant	suppliant
suppli#er	supplier
supplé#er	suppléer
séditi#eux	séditieux
séditi#on	sédition
séditi#ons	séditions
sûreme#nt	sûrement
telleme#nt	tellement
tentati#on	tentation
testame#nt	testament
torre#nt	torrent
tourme#nt	tourment
traiteme#nt	traitement
tride#nt	trident
tri#ompha	triompha
tri#omphant	triomphant
tri#omphante	triomphante
tri#omphants	triomphants
tri#omphe	triomphe
tri#ompher	triompher
tri#omphera	triomphera
tri#omphez	triomphez
tri#omphoit	triomphoit
tri#omphons	triomphons
tri#omphé	triomphé
trucheme#nt	truchement
uni#on	union
ve#nt	vent
vertu#eux	vertueux
victori#eux	victorieux
vi#ole	viole
vi#olence	violence
vi#olences	violences
viole#nt	violent
vi#olente	violente
vi#olenter	violenter
vi#olents	violents
vi#olenté	violenté
vi#oler	violer
vi#olé	violé
vi#olée	violée
vi#olés	violés
visi#on	vision
visi#onnaire	visionnaire
visi#ons	visions
viveme#nt	vivement
voudri#ez	voudriez
voudri#ez-vous	voudriez-vous
véhéme#nt	véhément
Éthi#opie	Éthiopie
éblou#i	ébloui
éblou#ie	éblouie
éblou#ir	éblouir
éblou#is	éblouis
éblou#issant	éblouissant
éblou#isse	éblouisse
éblou#issent	éblouissent
éblou#issiez	éblouissiez
éblou#it	éblouit
éclaircisseme#nt	éclaircissement
égaleme#nt	également
égareme#nt	égarement
élargisseme#nt	élargissement
électi#on	élection
électi#ons	élections
éloigneme#nt	éloignement
éléme#nt	élément
émoti#on	émotion
émoti#ons	émotions
étonneme#nt	étonnement
étudi#é	étudié
étudi#ée	étudiée
évanou#ie	évanouie
évanou#ir	évanouir
évanou#issez-vous	évanouissez-vous
évanou#it	évanouit
évide#nt	évident
événeme#nt	événement
remercieme#nt	remerciement
entièreme#nt	entièrement
boucli#er	bouclier
cri#é	crié
ressentime#nt	ressentiment
#hésite	hésite
instructi#on	instruction
lauri#er	laurier
sujétion	sujéti#on
muettes	mu#ettes
Renouer	renou#er
jouer 	jou#er 
